Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return
2022-09-30,19431.7890625,20109.849609375,19265.662109375,19573.431640625,43975248085.0,0.007497117479269955,0.007469153771848797
2022-10-01,19312.095703125,19471.154296875,19231.08203125,19431.10546875,18719537670.0,-0.0072713959661319105,-0.007297961422753548
2022-10-02,19044.107421875,19370.30859375,18970.62109375,19311.849609375,20765955327.0,-0.006137368744500549,-0.006156279807870231
2022-10-03,19623.580078125,19653.54296875,19025.2265625,19044.068359375,30484729489.0,-0.013866162766201562,-0.013963196031377323
2022-10-04,20336.84375,20380.34375,19523.83984375,19623.583984375,35887278685.0,0.030430242848541234,0.029976426527819337
2022-10-05,20160.716796875,20343.748046875,19801.80078125,20335.900390625,33223790572.0,0.03629899649407431,0.035655708852914
2022-10-06,19955.443359375,20408.392578125,19900.087890625,20161.0390625,34711412966.0,-0.00859865187998321,-0.008635833582167273
2022-10-07,19546.849609375,20041.0859375,19395.79296875,19957.55859375,29227315390.0,-0.010092757030984445,-0.010144034213747056
2022-10-08,19416.568359375,19601.6953125,19299.4140625,19546.328125,16437423167.0,-0.02060524922516238,-0.020820499361897785
2022-10-09,19446.42578125,19542.5390625,19349.259765625,19417.478515625,16837262532.0,-0.006592010967533035,-0.00661383423082894
2022-10-10,19141.484375,19515.466796875,19102.978515625,19446.416015625,27425022774.0,0.0014902810360630792,0.0014891716693218944
2022-10-11,19051.41796875,19241.9609375,18925.603515625,19139.0,28711532910.0,-0.015808363627415667,-0.015934648480509652
2022-10-12,19157.4453125,19203.19921875,19029.7578125,19052.646484375,24950173846.0,-0.0045119136645069835,-0.0045221230678369004
2022-10-13,19382.904296875,19453.328125,18319.822265625,19156.966796875,44219840004.0,0.005475371234413773,0.005460435882265121
2022-10-14,19185.65625,19889.146484375,19115.408203125,19382.533203125,38452356727.0,0.011774640977443074,0.011705859285708229
2022-10-15,19067.634765625,19212.541015625,19019.25,19185.4375,16192235532.0,-0.010168727743658512,-0.010220782442997636
2022-10-16,19268.09375,19389.603515625,19068.9140625,19068.9140625,17988916650.0,-0.006073535591773704,-0.006092054530764088
2022-10-17,19550.7578125,19635.802734375,19173.333984375,19268.5625,27472552998.0,0.010469837812768779,0.010415408640962348
2022-10-18,19334.416015625,19666.994140625,19144.76953125,19550.466796875,30580012344.0,0.014630271296833808,0.014524281401053973
2022-10-19,19139.53515625,19348.416015625,19127.6875,19335.02734375,22425387184.0,-0.01101965775873115,-0.011080823956084663
2022-10-20,19053.740234375,19315.19921875,18971.458984375,19138.0859375,24493974420.0,-0.010185731974858614,-0.010237961509506786
2022-10-21,19172.46875,19237.384765625,18770.970703125,19053.203125,32459287866.0,-0.004435282231316395,-0.004445147275863463
2022-10-22,19208.189453125,19248.068359375,19132.244140625,19172.380859375,16104440957.0,0.0062549973142638216,0.0062355160133489625
2022-10-23,19567.0078125,19646.65234375,19124.197265625,19207.734375,22128794335.0,0.0018439815004880344,0.0018422834537250563
