Rank,Model,MAE,RMSE,MAPE
1,Naive,2134.9952690972223,2898.970319877806,2.1998743915895194
2,Linear Regression,1079.6039661326602,1597.3535160930562,1.1321283173804209
3,Random Forest,5325.380540364583,7073.816304752723,5.1611341143570435
4,ARIMA,11097.901566024093,12597.781152467816,11.20660096733307
5,Prophet,33838.992757226486,35022.52305038263,35.29164920210349
